Arrondissement,Point Order,PolygonID,Latitude,Longitude
LaSalle,175,66023,-73.60947421,45.44422014
LaSalle,176,66023,-73.6068869,45.4464913
LaSalle,177,66023,-73.6055458,45.44769428
LaSalle,178,66023,-73.60536974,45.44783232
LaSalle,179,66023,-73.60521174,45.44798132
LaSalle,180,66023,-73.60507178,45.4481393
LaSalle,181,66023,-73.60495271,45.44830536
LaSalle,182,66023,-73.60485475,45.44847734
LaSalle,183,66023,-73.60480771,45.44858637
LaSalle,184,66023,-73.60478273,45.44870932
LaSalle,185,66023,-73.60478972,45.44883431
LaSalle,186,66023,-73.60659594,45.45390127
LaSalle,187,66023,-73.60682297,45.45454622
LaSalle,188,66023,-73.61210203,45.45695136
LaSalle,189,66023,-73.61360699,45.45769431
LaSalle,190,66023,-73.62011399,45.45482523
LaSalle,191,66023,-73.6208281,45.45448628
LaSalle,192,66023,-73.62149802,45.45410526
LaSalle,193,66023,-73.62207104,45.45374222
LaSalle,194,66023,-73.62232402,45.45358922
LaSalle,195,66023,-73.62279502,45.45326121
LaSalle,196,66023,-73.62555102,45.45131618
LaSalle,197,66023,-73.62631102,45.45075116
LaSalle,198,66023,-73.62699805,45.45014212
LaSalle,199,66023,-73.62759907,45.44950213
LaSalle,200,66023,-73.62881408,45.44828907
LaSalle,201,66023,-73.62908203,45.44839011
LaSalle,202,66023,-73.62967509,45.44802514
LaSalle,203,66023,-73.62999406,45.44779106
LaSalle,204,66023,-73.63041612,45.44753914
LaSalle,205,66023,-73.63097707,45.44720508
LaSalle,206,66023,-73.63203714,45.4466731
LaSalle,207,66023,-73.63330213,45.44613116
LaSalle,208,66023,-73.63396614,45.4458702
LaSalle,209,66023,-73.63604715,45.44504813
LaSalle,210,66023,-73.63927924,45.4438391
LaSalle,211,66023,-73.64311035,45.44227711
LaSalle,212,66023,-73.64533246,45.44141009
LaSalle,213,66023,-73.64709448,45.44070607
LaSalle,214,66023,-73.64805149,45.44025514
LaSalle,215,66023,-73.64894545,45.4397681
LaSalle,216,66023,-73.65024747,45.43906409
LaSalle,217,66023,-73.65061751,45.43885716
LaSalle,218,66023,-73.65203352,45.43801815
LaSalle,219,66023,-73.65327152,45.43733308
LaSalle,220,66023,-73.65376954,45.43708907
LaSalle,221,66023,-73.65502056,45.43655616
LaSalle,222,66023,-73.65784255,45.43547313
LaSalle,223,66023,-73.65932349,45.43485921
LaSalle,224,66023,-73.66211851,45.43344221
LaSalle,225,66023,-73.66511854,45.43236718
LaSalle,226,66023,-73.66586596,45.43256702
LaSalle,227,66023,-73.66585254,45.43161096
LaSalle,228,66023,-73.66584288,45.43091203
LaSalle,229,66023,-73.66584665,45.43075224
LaSalle,230,66023,-73.66591045,45.42907766
LaSalle,231,66023,-73.66591798,45.42885599
LaSalle,232,66023,-73.66592048,45.42868119
LaSalle,233,66023,-73.66600876,45.42844268
LaSalle,234,66023,-73.66610411,45.42179737
Mont-Royal,235,66023,-73.65075086,45.52630736
Mont-Royal,236,66023,-73.65125696,45.52544053
Mont-Royal,237,66023,-73.65186667,45.52437417
Mont-Royal,238,66023,-73.65276819,45.52284585
Mont-Royal,239,66023,-73.65454542,45.51999823
